id,vid,url,title,start,duration,content,type,model,create_time
62,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_1530_1730.mp4,战后小弟暖心告别，解说揭秘战略意图,1530,200,战斗结束后，小弟An Ngu与L_ Qu_进行暖心互动，表达自己的忠心并约定次日再来军团效力。随后解说Roi解释自己不直接参战的原因，揭秘团队的核心战略目标，让观众理解背后的布局思路。,核心内容,,2026/3/15 22:43:58
4,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_0210_0510.mp4,军团初入：冲突与和解,210,300,玩家与名为__i ca的角色从冲突误会到和解，加入军团后共同寻找食物，过程中与其他玩家发生小冲突，展现游戏内的生存玩法与社交互动，还有军团成员间的信任建立。,核心内容,,2026/3/15 21:00:54
61,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_1140_1310.mp4,阵营冲突白热化，双方互呛不留情面,1140,170,Nha d_ch阵营与L_ Qu_的成员爆发激烈冲突，双方互相指责对方反水、不讲义气，现场火药味十足。成员们各执一词，冲突不断升级，充满了紧张感与戏剧性。,核心内容,,2026/3/15 22:42:21
60,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_1068_1240.mp4,小弟单挑强敌显忠心，战队统一皮肤展气势,1068,172,小弟An Ngu为了证明自己配当L_ Qu_的亲信，主动单挑两个强敌，展现自己的实力与忠心。之后战队成员统一更换和L_ Qu_同款的皮肤，展现出军团的凝聚力与气势，过程热血又搞笑。,核心内容,,2026/3/15 22:41:00
8,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_0540_0840.mp4,军团招募与成员互动,540,300,新成员向__i ca申请加入军团，通过行动证明自己的实力，获得认可后融入团队，期间处理军团内部的小摩擦，展现游戏内的军团招募机制与成员间的情感联结。,核心内容,,2026/3/15 21:02:54
59,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_0863_1040.mp4,战队成员集体反水，怒骂首领独断专行,863,177,恐龙军团成员们集体公开反抗首领Nha d_ch，指责他不尊重下属、性格恶劣，纷纷表示只愿意追随L_ Qu_。Nha d_ch气急败坏却无力挽回人心，场面冲突感拉满，笑点与看点并存。,核心内容,,2026/3/15 22:39:29
58,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_0528_0700.mp4,小弟跪求加入战队，军团内部选老大上演反转,528,172,小弟An Ngu极力请求加入L_ Qu_的恐龙军团，不停夸赞L_ Qu_为人友善、值得追随，同时吐槽另一个首领Nha d_ch脾气暴躁、独断专行。随后军团成员投票选老大，众人纷纷倒向L_ Qu_，场面热闹又充满戏剧性。,核心内容,,2026/3/15 22:38:04
12,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_0840_1140.mp4,军团纠纷与整合备战,840,300,处理军团成员之间的矛盾冲突，协调不同成员的关系，整合团队力量准备应对敌对势力，展现游戏内的军团管理玩法与战斗筹备过程。,核心内容,,2026/3/15 21:04:37
14,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_1140_1440.mp4,敌对冲突与主播心声,1140,300,军团与敌对势力爆发冲突，展开激烈对抗，主播在战斗间隙分享自己的直播收入与日常不易，让观众了解背后的付出，同时展现游戏内的热血战斗玩法。,核心内容,,2026/3/15 21:05:46
16,788e0wRvtjI,https://qiwei.yuemei.info/video/788e0wRvtjI_1530_1739.mp4,最终反击与战友告别,1530,209,军团成员发起最终反击，击退敌对势力，战斗结束后角色之间进行温情告别，约定后续再聚，展现游戏内的战斗热血与深厚的战友情感。,核心内容,,2026/3/15 21:06:49
